RID|CompanyID|BoothNo|CompanyNameEn|CompanyNameSc|CompanyNameTc|Product_Name_SC|Rroduct_Description_SC|Product_Name_TC|Rroduct_Description_TC|Product_Name_EN|Rroduct_Description_EN|
1711|226676|2.1L21|ZHANGHIAGANG CITY YILI MACHINERY CO., LTD|张家港市亿利机械有限公司|張家港市億利機械有限公司|双壁波纹管生产线|立式波纹管生产线 最大直径达到800mm,成型模采用风冷,成型模轨道采用水冷,挤出模内部水冷 卧式波纹管生产线 最大直径达到1200mm, 成型模采用水冷, 成型模轨道采用水冷,挤出模内部水冷 设备产量的高低是反映设备价值最关键、最核心的指标。波纹管生产设备的产量是由波纹成型模块的冷却效率决定的。我们在冷却方面做了如下特殊设计： 4个角度对成形模进行风冷，成型模轨道水冷却，管材冷却通过风箱冷却而不是水槽冷却，液压站增加压力分配器，保证上面成形模和下面成型模同步移动|雙壁波紋管生產線|立式波紋管生產線 最大直徑達到800mm,成型模採用風冷,成型模軌道採用水冷,擠出模內部水冷 臥式波紋管生產線 最大直徑達到1200mm, 成型模採用水冷, 成型模軌道採用水冷,擠出模內部水冷 設備產量的高低是反映設備價值最關鍵、最核心的指標。波紋管生產設備的產量是由波紋成型模組的冷卻效率決定的。我們在冷卻方面做了如下特殊設計： 4個角度對成形模進行風冷，成型模軌道水冷卻，管材冷卻通過風箱冷卻而不是水槽冷卻，液壓站增加壓力分配器，保證上面成形模和下面成型模同步移動|DOUBLE WALL CORRUGATED PIPE PRODUCTION LINE    |Vertical type corrugated pipe production line -Max diameter up to 800mm -Forming mould cooing by fan -Forming guide rail cooling by water -Extrusion mould inside cooling with water pipe Horizontal type corrugated pipe production line -Max diameter up to 1200mm -Forming mould cooing by water -Forming guide rail cooling by water -Extrusion mould inside cooling with water pipe Output is the most crucial point to reflect the value of corrugated machinesThe output of corrugated pipe machines is decided by the  cooling efficiency of mould blocks. What we do in the cooling point special design？Pipe cooling by fan tank but not water tank 1. Cooling fan in the 4 direction for the forming mould 2. Forming mould guide rail cooling by water 3. Pipe cooling by fan tank but not water tank 4. Pressure distributor in hydraulic pressure station，Guarantee up forming mould and below forming mould moving synchronization|
1712|228557|11.1R61|Taizhou City Huangyan Minfeng Bottle Cap Machinery Factory|台州市黄岩民峰瓶盖机械厂|台州市黃岩民峰瓶蓋機械廠|瓶盖模压机|1. 在相等耗能的情况下，产量是传统注塑机的三倍。 2. 全自动运转，节电，节水，节原材料，节人工，大大降低了制盖的成本。 3. 盖子的表面无注塑点，易于印刷。盖子质量稳定，克重均衡，厚度统一。 4. 制作的盖子用于饮料，医药，化妆品等行业。|瓶蓋模壓機|1. 在相等耗能的情況下，產量是傳統注塑機的三倍。 2. 全自動運轉，節電，節水，節原材料，節人工，大大降低了制蓋的成本。 3. 蓋子的表面無注塑點，易於印刷。蓋子品質穩定，克重均衡，厚度統一。 4. 製作的蓋子用於飲料，醫藥，化妝品等行業。|Cap Compression Moulding Machine   |1. The capacity of cap compression moulding machine is 3 times more than injection moulding machine at same consumption. 2. Full automatic running. Power, water, raw material and labor are saved, which greatly reduce the cost of cap making. 3. No injection point on cap surface, easy for printing. Cap is with consistent quality, stable weight and uniform wall thickness. 4. For cap of beverage, medicine, cosmetic etc. field.|
1713|226753|11.1L01|SHAOXING KEQIAO HUANGGUAN MACHINERY CO.LTD,|绍兴柯桥皇冠机械有限公司|紹興柯橋皇冠機械有限公司|塑料瓶盖模压机|随着社会市场经济不断的发展，效率高，耗能低是将来生产发展的方向，越来越多的客户对产品质量不断的提升，我公司特推出SY-30By-H高配节能型模压机。这款机型在原有的标准机型上加以改良，采用全进口西门子伺服控制系统，比同产量机型节约25-35%的能耗，同时还安装了计量控制系统，在节约能耗之余减少了产品之间的重量误差。模具表面采用欧洲进口设备涂层，增加模具表面抗磨力，延长了模具使用寿命。|塑膠瓶蓋模壓機|隨著社會市場經濟不斷的發展，效率高，耗能低是將來生產發展的方向，越來越多的客戶對產品品質不斷的提升，我公司特推出SY-30By-H高配節能型模壓機。這款機型在原有的標準機型上加以改良，採用全進口西門子伺服控制系統，比同產量機型節約25-35%的能耗，同時還安裝了計量控制系統，在節約能耗之餘減少了產品之間的重量誤差。模具表面採用歐洲進口設備塗層，增加模具表面抗磨力，延長了模具使用壽命。|Plastic cap compression molding machine  |As maeket economy is developing, high efficiency and low power consumption is the trend .More and more customers have a request of improving quality.our company hereby made a SY-30by-H high configuration energy saving compression molding machine.This machine is improved by the standard machine with adopting imported siemens servo controlling system which can save 25-35% of power consumption.This machine also equipped with product weight calculating controlling system,which can reduce the cap weight difference.Our mold surface has a special coating by european imported equipment.it improves the wearing resistance of the mold and the molding life can be uese for a long time.|
1714|229386|3.2M45|Guangzhou Master technologies Co.,ltd.|广州鑫电自控设备有限公司|廣州鑫電自控設備有限公司|MASTERFLEX单螺杆失重式计量秤|适用材料：颗粒、粉末、碳酸钙、滑石粉等流动性好的原料。 特点：柔性料斗振动搭载对原料无损害的防架桥功能。 无需工具可以轻松拆装和清洗 与物料接触的部件全部为不锈钢304和PU料|MASTERFLEX單螺杆失重式計量秤|適用材料：顆粒、粉末、碳酸鈣、滑石粉等流動性好的原料。 特點：柔性料斗振動搭載對原料無損害的防架橋功能。 無需工具可以輕鬆拆裝和清洗 與物料接觸的部件全部為不銹鋼304和PU料|MASTERFLEX LOSS-IN-WEIGHT FEEDER--MG-F80|Applications:Resin pellet,Resin powder,Calcium carbonate,Talc,Carbon Black. Features: -New bridge breaking structure equipped,oscillating soft discharge hopper,suitable for feeding material delicately. -Major parts can be eassily disassembled without tools. -Easy to clean up leftover material.|
1715|226419|11.1K41|Jiangsu Newamstar Packaging Machinery Co.,Ltd|江苏新美星包装机械股份有限公司|江蘇新美星包裝機械股份有限公司|吹灌旋一体机|融吹瓶、灌装、旋盖功能于一体的高端智能吹灌旋一体机，以数字化、柔性化及系统集成技术为核心，诠释了绿色、低碳、安全、高效的发展理念。|吹灌旋一體機|融吹瓶、灌裝、旋蓋功能于一體的高端智慧吹灌旋一體機，以數位化、柔性化及系統集成技術為核心，詮釋了綠色、低碳、安全、高效的發展理念。|blowing-filling-capping combiblock   |The high-end intelligent blowing-filling-capping machine focuses on digitalization, flexibility, and system integration technique, and has interpreted the development ideas of green, low-carbon, safety, and high-efficiency.|
1716|58174|2.2C55|GUANGDONG CGC SEIKO MACHINERY CO., LTD|广东聚诚信精工机械有限公司|廣東聚誠信精工機械有限公司|中国水下切粒机系统|1. 人性化设计, 一键开机, 操作简单，省时，环保无污染生产 2. 特制模头, 不堵孔, 保用两年,整机无死角设计, 清理维护简单便捷，自动恒温, 过滤系统, 脱水干燥效率高 3. 高效快速切粒， 颗粒均匀美观, 粒形多样化 4. 应用于多种原材料,改性塑料,工程塑料色母填充, 环保再生等挤出造粒切粒|中國水下切粒機系統|1. 人性化設計, 一鍵開機, 操作簡單，省時，環保無污染生產 2. 特製模頭, 不堵孔, 保用兩年,整機無死角設計, 清理維護簡單便捷，自動恒溫, 過濾系統, 脫水乾燥效率高 3. 高效快速切粒， 顆粒均勻美觀, 粒形多樣化 4. 應用於多種原材料,改性塑膠,工程塑料色母填充, 環保再生等擠出造粒切粒|China Underwater Pelletizer System|1. Humanized design, a key boot, simple operation, save time, the important is environmental protection. 2. Special mould head, no blocking by the hole, two years warranty. Automatic constant temperature, filtering system, dehydration with high efficiency 3. Efficient rapid dicing, uniform grain and beautiful, grain shape diversification 4. Mature is applied to a variety of raw material, modified plastics, engineering plastics masterbatch filling, environmental regeneration extruding pelletizing|
1717|226585|6.1M21|DONGGUAN XINHUIDA MACHINERY CO.,LTD|东莞市鑫晖达机械制造有限公司|東莞市鑫暉達機械製造有限公司|XHD-80/130/80四轴全自动缠绕膜设备|东莞鑫晖达机械制造有限公司是一家专业生产拉伸缠绕膜机组的企业，公司集产品设计、研发、制造、销售和服务于一体，兢兢业业，实实在在为国内外客户提供高质量、低耗能和极具市场竞争力的先进设备。此款参展机型配备国际领先全自动高速四轴换卷系统（专利产品）实现真正全自动化作业，生产出的产品与国际同类产品相媲美，并且可大幅度降低能耗及人工成本。|XHD-80/130/80四軸全自動纏繞膜設備|東莞鑫暉達機械製造有限公司是一家專業生產拉伸纏繞膜機組的企業，公司集產品設計、研發、製造、銷售和服務於一體，兢兢業業，實實在在為國內外客戶提供高品質、低耗能和極具市場競爭力的先進設備。此款參展機型配備國際領先全自動高速四軸換卷系統（專利產品）實現真正全自動化作業，生產出的產品與國際同類產品相媲美，並且可大幅度降低能耗及人工成本。|XHD-80/130/80 New Style Fully Automatic High Speed Four-shaft Roll Change Cast Film Machine Group  |Dongguan Xinghuida Machinery Co.,Ltd is a professional enterprise which focus on th emanefacuring of stretch film production equipment that can produce one-layer,two-layer,three-layer and multi-layer stretch film .It combines product design , research ,manufacturing ,sales and service together as one . XHD-80/130/80 New Style Fully Automatic High Speed Four-shaft Roll Change Cast Film Machine Group which realized the truly automatic operation ; the finished film rolls can match with similar products from international competitors.(Compared with the machines from our competitors, the energy and labor cost are also greatly decreased).|
1718|228879|11.3R01|QUZHOU JIANHUA DONGXU CHEMICAL CO., LTD.|衢州建华东旭助剂有限公司|衢州建華東旭助劑有限公司|硫醇甲基锡|热稳定性：DX-181具有极高的热稳定性和优异的初期着色性； 透 明 性：使用DX-181的PVC制品透明度极佳，色泽纯净，气体极少，无析出； 加 工 性：具有极好的高温色度稳定性和长期动态稳定性。无结垢现象，缩短生产中设备清洗时间。 适用于软、硬质聚氯乙烯（PVC）的各种加工工艺，如压延、挤塑、注塑和吹塑等；|硫醇甲基錫|熱穩定性：DX-181具有極高的熱穩定性和優異的初期著色性； 透 明 性：使用DX-181的PVC製品透明度極佳，色澤純淨，氣體極少，無析出； 加 工 性：具有極好的高溫色度穩定性和長期動態穩定性。無結垢現象，縮短生產中設備清洗時間。 適用於軟、硬質聚氯乙烯（PVC）的各種加工工藝，如壓延、擠塑、注塑和吹塑等；|methyl tin mercaptide |Heat Stability: DX-181 has high efficient heat stability and good early color stability. Transparency: The products processed with DX-181 have superior transparency, clear color, little gas and no educt. Process: The excellent high-temperature color stability and long-term dynamic stability provided by DX-181. Without fouling, the time of cleaning equipment is shortened. It is suitable for all kinds of process of flexible and rigid PVC, such as calendaring, extrusion, injection and blow molding, etc. Amount: On the same condition, less methyl tin mercaptide compared with butyl tin or octyl tin can achieve the same effect. Safety: The product of methyltin mercaptide has been approved by American FDA (21 CFR 178.2010) and certified by Germany BGA (IIA, 4C). It can be used in food packaging materials and water pipes etc. It’s safe and reliable. Applications PVC film (thermal shrinking packaging film, printing film, calendared film, twisting film) PVC s|
1719|226741|1.2J21|Jiangmen Hanshen Machinery Co., Ltd.|江门汉申实业有限公司|江門漢申實業有限公司|国内首创四层共挤PE高粘膜生产线|本设备自粘膜优点： 1.粘性层分布均匀，流平好，粘性流量可小于5% 2.每层温度独立可控，可生产温差大的产品，如高温膜 3.台湾宏泰四层迭加模具 4.高精密高效台湾风环 5.解卷层单独控制，节省成本 6.做有色膜分布均匀，品质操控好。|國內首創四層共擠PE高粘膜生產線|本設備自粘膜優點： 1.粘性層分佈均勻，流平好，粘性流量可小於5% 2.每層溫度獨立可控，可生產溫差大的產品，如高溫膜 3.臺灣宏泰四層迭加模具 4.高精密高效臺灣風環 5.解卷層單獨控制，節省成本 6.做有色膜分佈均勻，品質操控好。|Four Layers Co-Extrusion Self-Adhesive Film Blowing Machine Production Line|Characteristic :    1.The uniform distribution of the viscous layers, good leveling, viscous flow can be less than 5%.    2.Each layer temperature controlled independently, can produce products in the high temperature, such as  high temperature membrane.    3.Taiwan Hongtai four layer stack die head     4.High precision and efficient wind ring in Taiwan Hongtai    5.Volume solution layer control, the cost savings    6.Uniform color film distribution, good quality control|
1720|229355|13.2E61|SHENZHEN FUHENG NEW MATERIAL CO., LTD.|深圳市富恒新材料股份有限公司|深圳市富恒新材料股份有限公司|轻量化、以塑代钢、新型环保材料|产品特色：市场认可度高的一系列专用牌号工程塑料，也可根据客户要求制作出高吻合的各类工程塑料； 独特之处：为客户提供优质的具有成本竞争力的改性塑料；优异功能：产品以自主创新开发为主，覆盖了阻燃树脂、增强树脂、增韧树脂、合金树脂和特种工程材料等，为客户提供丰富的色彩解决方案：市场价值：富恒以其良好的环境友好度和卓越的性能远销全国十多个省、市，为全球300多家知名企业提供服务，在同行业中居领先地位。|輕量化、以塑代鋼、新型環保材料|"產品特色：市場認可度高的一系列專用牌號工程塑料，也可根據客戶要求製作出高吻合的各類工程塑料； 獨特之處：為客戶提供優質的具有成本競爭力的改性塑膠；優異功能：產品以自主創新開發為主，覆蓋了阻燃樹脂、增強樹脂、增韌樹脂、合金樹脂和特種工程材料等，為客戶提供豐富的色彩解決方案：市場價值：富恒以其良好的環境友好度和卓越的性能遠銷全國十多個省、市，為全球300多家知名企業提供服務，在同行業中居領先地位。"|New Material||
1721|227762|8.1A61|Shinden Precision Machinery(Chongqing), Inc.|重慶信鼎精密機械有限公司|重慶信鼎精密機械有限公司|塑膠成型周邊輔助設備及解決方案|環保冷媒冷水機採用R410A環保冷媒，應用於模具的冷卻以減小產品成型週期，亦可用於冷卻設備以保證設備維持在正常溫度下，或其它需降溫的工業區域。 百捷系列集中粉碎機適用於粉碎各種塑膠材料，包括注射成型、吹塑成型和廢料的集中粉碎。|塑膠成型周邊輔助設備及解決方案|環保冷媒冷水機採用R410A環保冷媒，應用於模具的冷卻以減小產品成型週期，亦可用於冷卻設備以保證設備維持在正常溫度下，或其它需降溫的工業區域。 百捷系列集中粉碎機適用於粉碎各種塑膠材料，包括注射成型、吹塑成型和廢料的集中粉碎。|Plastic molding machinery auxiliary equipments and solutions|R410A CFC-free refrigerant water chillers are applicable for cooling moulds to reduce products molding cycle; also they are available in the cooling of equipments in order to maintain a normal temperature. they are suitable for other industries with the need of cooling. Budget series granulators are suitable for centralized recycling of wastes or rejected from injection moulding, blow moulding and extrusion machines.|
1722|226664|13.1D11|JUDING PACKING MACHINERY (SHANGHAI) CO., LTD.|巨鼎包装机械（上海）有限公司|巨鼎包裝機械（上海）有限公司|JDM650-SFL高速全自动平底袋八边封袋制袋机|JDM650-SFL平底八边封袋制袋机，是最新一代机型。 整机墙板采用框架式结构，制袋过程中更稳定，速度更快，使用年限更长久。 八边封平底袋，有5面印刷，可以更加全面的展示内在产品，公司信息。八边封袋与自立袋同等尺寸袋子，八边封袋能装的内容物更多。 八边封平底袋，能加普通凹凸扣拉链，也能加易撕条拉链、滑扣拉链、咖啡阀等，不论是装固态粉末类、食品类还是液态果汁类等都很好用。|JDM650-SFL高速全自動平底袋八邊封袋制袋機|JDM650-SFL平底八邊封袋制袋機，是最新一代機型。 整機牆板採用框架式結構，制袋過程中更穩定，速度更快，使用年限更長久。 八邊封平底袋，有5面印刷，可以更加全面的展示內在產品，公司資訊。八邊封袋與自立袋同等尺寸袋子，八邊封袋能裝的內容物更多。 八邊封平底袋，能加普通凹凸扣拉鍊，也能加易撕條拉鍊、滑扣拉鍊、咖啡閥等，不論是裝固態粉末類、食品類還是液態果汁類等都很好用。|JDM650-SFL HIGH-SPEED AUTOMATIC FLAT BOTTOM POUCH MAKING MACHINE|JDM650-SFL flat bottom pouch making machine, it's the latest technology. Machine body it's the interlocking structure, it's the latest structure type, better for machine running, more stable when high-speed working, the working speed can be faster, to finalized package factory, the structure it's longer service life. The flat bottom pouch made by the machine, it's print on 5pcs film, front/back/side left/ side right/ bottom all can print, can introduce inside production and company much more completely, can stand alone as the bag bottom is flat shape, and the same bag volumn with stand-up pouch, the capacity of the flat bottom pouch can pack much more. Flat bottom pouch can add normal press zipper, pocket zipper, slider zipper, more convenient to finalized user, to pack coffee/tea the bag can add air-out valve, to pack liquid/juice/water/oil, flat bottom pouch can add spout. no matter powder or liquid food, the pouch all can pack.|
